cruiser;;1,1,1,3,2,1,1,5,3;;18;;1;;8;;6;;24;;1;;
x-form;;1,1,1,1,2,2,2,5,5;;10;;2;;6;;3;;20;;2;;
y-wing;;1,1,1,1,2,2,2,5,5;;10;;1;;6;;3;;50;;14;;
broodhome;;1,1,1,9,0,0,4,8,12;;30;;1;;4;;10;;27;;6;;
scout;;1,0,0,0,1,1,0,2,1;;4;;1;;9;;1;;35;;1;;
terminator;;1,1,1,1,2,4,2,4,4;;10;;2;;6;;3;;30;;2;;
penetrator;;1,1,1,1,2,1,1,2,2;;16;;1;;6;;2;;36;;1;;
skiff;;1,0,1,0,1,0,1,2,0;;20;;1;;6;;1;;40;;0;;
dreadnought;;1,1,1,1,4,16,6,4,8;;42;;1;;6;;10;;30;;4;;
intruder;;1,1,1,1,2,3,1,6,4;;40;;1;;8;;6;;21;;6;;
guardian;;1,1,1,1,2,2,4,2,6;;24;;1;;8;;6;;24;;4;;
blazer;;1,1,1,1,2,2,4,2,6;;24;;1;;8;;6;;60;;1;;
eluder;;1,1,1,2,8,8,4,2,3;;10;;1;;10;;7;;48;;1;;
drone;;1,0,1,1,1,0,2,3,1;;30;;30;;150;;1;;18;;4;;
avenger;;1,1,1,1,2,4,0,8,4;;16;;4;;4;;7;;25;;2;;
podship;;1,0,1,1,8,2,4,3,0;;40;;1;;4;;7;;27;;6;;
fury;;1,1,1,1,1,0,0,2,1;;12;;0;;0;;1;;64;;0;;
torch;;1,0,1,1,1,1,0,2,1;;24;;1;;6;;7;;28;;1;;
mauler;;1,0,1,2,2,4,0,3,1;;32;;1;;50;;5;;20;;4;;
stinger;;3,0,0,2,1,0,0,2,2;;10;;1;;4;;5;;40;;1;;
jugger;;1,1,1,1,3,3,4,2,4;;20;;0;;0;;8;;36;;1;;
blade;;1,1,1,1,2,0,1,3,2;;16;;1;;4;;4;;40;;1;;
